Krutthika,1,B,Suddha Ekadasi,THUS,1-Jan-15,
Rohini,1,B,Suddha Dwadasi,FRI,2-Jan-15,
Mrugasira,1,B,Suddha Thrayodasi,SAT,3-Jan-15,
Punarvasu,1,B*,Poornima,MON,5-Jan-15,
Punarvasu,4,E,Bahula Padyami,TUE,6-Jan-15,
Pushyami,4,M,Bahula Vidhiya,WED,7-Jan-15,
Aasleesha,4,B,Bahula Thadhiya,THUS,8-Jan-15,
Magha,3,E,Bahula Chavithi,FRI,9-Jan-15,
Poorva Phalguni,2,B,Bahula Panchami,SAT,10-Jan-15,
Hastha,2,M,Bahula Saptami,MON,12-Jan-15,
Chitra,2,B,Bahula Astami,TUE,13-Jan-15,
Swathi,1,E*,Bahula Navami,WED,14-Jan-15,
Visakha,1,E,Bahula Dasami,THUS,15-Jan-15,
Anuradha,1,M,Bahula Ekadasi,FRI,16-Jan-15,
Jyeshta,1,M,Bahula Dwadasi,SAT,17-Jan-15,
Poorva Aashada,1,E,Bahula Chaturdhasi,MON,19-Jan-15,
Utthara Aaashada,1,E,Amaavaasya,TUE,20-Jan-15,
Sravanam,2,B,Suddha Padyami,WED,21-Jan-15,
Dhanishta,2,M,Suddha Vidhiya,THUS,22-Jan-15,
Sathabhisham,2,M,Suddha Thadhiya,FRI,23-Jan-15,
Poorva Bhaadhra,3,B*,Suddha Chavithi,SAT,24-Jan-15,
Revathi,3,M,Suddha Saptami,MON,26-Jan-15,
Ashwani,3,E,Suddha Astami,TUE,27-Jan-15,
Bharani,3,E,Suddha Navami,WED,28-Jan-15,
Krutthika,3,E*,Suddha Dasami,THUS,29-Jan-15,
Rohini,4,B*,Suddha Ekadasi,FRI,30-Jan-15,
Mrugasira,3,E*,Suddha Dwadasi,SAT,31-Jan-15,
Punarvasu,3,M,Suddha Chaturdhasi,MON,2-Feb-15,
Pushyami,3,M,Poornima,TUE,3-Feb-15,
Aasleesha,2,E*,Bahula Padyami,WED,4-Feb-15,
Magha,2,M,Bahula Vidhiya,THUS,5-Feb-15,
Poorva Phalguni,2,M,Bahula Vidhiya,FRI,6-Feb-15,
Utthara Phalguni,1,E,Bahula Thadhiya,SAT,7-Feb-15,
Chitra,1,B,Bahula Panchami,MON,9-Feb-15,
Chitra,4,E,Bahula Shashti,TUE,10-Feb-15,
Swathi,4,E,Bahula Saptami,WED,11-Feb-15,
Visakha,4,E,Bahula Astami,THUS,12-Feb-15,
Anuradha,4,M,Bahula Navami,FRI,13-Feb-15,
Jyeshta,4,M,Bahula Dasami,SAT,14-Feb-15,
Poorva Aashada,4,M,Bahula Dwadasi,MON,16-Feb-15,
Utthara Aaashada,4,E,Bahula Thrayodasi,TUE,17-Feb-15,
Sravanam,4,E*,Bahula Chaturdhasi,WED,18-Feb-15,
Sathabhisham,1,B,Amaavaasya,THUS,19-Feb-15,
Poorva Bhaadhra,1,M,Suddha Vidhiya,FRI,20-Feb-15,
Utthara Bhaadra,1,E,Suddha Thadhiya,SAT,21-Feb-15,
Ashwani,2,M,Suddha Panchami,MON,23-Feb-15,
Bharani,2,M,Suddha Shashti,TUE,24-Feb-15,
Krutthika,2,E,Suddha Saptami,WED,25-Feb-15,
Rohini,2,E,Suddha Astami,THUS,26-Feb-15,
Mrugasira,2,E,Suddha Navami,FRI,27-Feb-15,
Aardhra,2,E,Suddha Dasami,SAT,28-Feb-15,
Pushyami,2,B,Suddha Dwadasi,MON,2-Mar-15,
Aasleesha,1,E,Suddha Thrayodasi,TUE,3-Mar-15,
Magha,1,E,Suddha Chaturdhasi,WED,4-Mar-15,
Poorva Phalguni,1,B,Poornima,THUS,5-Mar-15,
Poorva Phalguni,4,E,Bahula Padyami,FRI,6-Mar-15,
Utthara Phalguni,4,B,Bahula Vidhiya,SAT,7-Mar-15,
Chitra,3,E,Bahula Chavithi,MON,9-Mar-15,
Swathi,3,M,Bahula Panchami,TUE,10-Mar-15,
Visakha,3,M,Bahula Panchami,WED,11-Mar-15,
Anuradha,3,B,Bahula Shashti,THUS,12-Mar-15,
Jyeshta,3,M,Bahula Saptami,FRI,13-Mar-15,
Moola,3,B,Bahula Navami,SAT,14-Mar-15,
Utthara Aaashada,3,B,Bahula Ekadasi,MON,16-Mar-15,
Sravanam,3,M,Bahula Dwadasi,TUE,17-Mar-15,
Dhanishta,3,M,Bahula Thrayodasi,WED,18-Mar-15,
Sathabhisham,4,B,Bahula Chaturdhasi,THUS,19-Mar-15,
Poorva Bhaadhra,4,M,Amaavaasya,FRI,20-Mar-15,
Utthara Bhaadra,4,E,Suddha Padyami,SAT,21-Mar-15,
Bharani,1,B,Suddha Thadhiya,MON,23-Mar-15,
Krutthika,1,B,Suddha Chavithi,TUE,24-Mar-15,
Rohini,1,M,Suddha Panchami,WED,25-Mar-15,
Mrugasira,1,M,Suddha Saptami,THUS,26-Mar-15,
Aardhra,1,M,Suddha Astami,FRI,27-Mar-15,
Punarvasu,1,B,Suddha Navami,SAT,28-Mar-15,
Pushyami,4,E,Suddha Dasami,MON,30-Mar-15,
Aasleesha,4,M,Suddha Ekadasi,TUE,31-Mar-15,
Magha,4,B,Suddha Dwadasi,WED,1-Apr-15,
